Id,Id2,Geography,Total
0500000US17001,17001,"Adams County, IL",67113
0500000US17003,17003,"Alexander County, IL",7821
0500000US17005,17005,"Bond County, IL",17571
0500000US17007,17007,"Boone County, IL",54005
0500000US17009,17009,"Brown County, IL",6878
0500000US17011,17011,"Bureau County, IL",34361
0500000US17013,17013,"Calhoun County, IL",5033
0500000US17015,17015,"Carroll County, IL",15027
0500000US17017,17017,"Cass County, IL",13440
0500000US17019,17019,"Champaign County, IL",204214
0500000US17021,17021,"Christian County, IL",34415
0500000US17023,17023,"Clark County, IL",16240
0500000US17025,17025,"Clay County, IL",13675
0500000US17027,17027,"Clinton County, IL",37952
0500000US17029,17029,"Coles County, IL",53655
0500000US17031,17031,"Cook County, IL",5227827
0500000US17033,17033,"Crawford County, IL",19626
0500000US17035,17035,"Cumberland County, IL",10950
0500000US17037,17037,"DeKalb County, IL",104919
0500000US17039,17039,"De Witt County, IL",16461
0500000US17041,17041,"Douglas County, IL",19867
0500000US17043,17043,"DuPage County, IL",926485
0500000US17045,17045,"Edgar County, IL",18171
0500000US17047,17047,"Edwards County, IL",6687
0500000US17049,17049,"Effingham County, IL",34280
0500000US17051,17051,"Fayette County, IL",22041
0500000US17053,17053,"Ford County, IL",13906
0500000US17055,17055,"Franklin County, IL",39774
0500000US17057,17057,"Fulton County, IL",36616
0500000US17059,17059,"Gallatin County, IL",5439
0500000US17061,17061,"Greene County, IL",13677
0500000US17063,17063,"Grundy County, IL",50173
0500000US17065,17065,"Hamilton County, IL",8371
*0500000US17067,17067,"Hancock County, IL",18808
0500000US17069,17069,"Hardin County, IL",4226
0500000US17071,17071,"Henderson County, IL",7074
0500000US17073,17073,"Henry County, IL",50031
0500000US17075,17075,"Iroquois County, IL",29272
0500000US17077,17077,"Jackson County, IL",60125
0500000US17079,17079,"Jasper County, IL",9658
0500000US17081,17081,"Jefferson County, IL",38716
0500000US17083,17083,"Jersey County, IL",22751
0500000US17085,17085,"Jo Daviess County, IL",22427
0500000US17087,17087,"Johnson County, IL",12650
0500000US17089,17089,"Kane County, IL",521874
0500000US17091,17091,"Kankakee County, IL",112682
0500000US17093,17093,"Kendall County, IL",118194
0500000US17095,17095,"Knox County, IL",52447
0500000US17097,17097,"Lake County, IL",703170
0500000US17099,17099,"LaSalle County, IL",112698
0500000US17101,17101,"Lawrence County, IL",16726
0500000US17103,17103,"Lee County, IL",35248
0500000US17105,17105,"Livingston County, IL",38476
0500000US17107,17107,"Logan County, IL",30047
0500000US17109,17109,"McDonough County, IL",32388
0500000US17111,17111,"McHenry County, IL",307888
0500000US17113,17113,"McLean County, IL",172390
0500000US17115,17115,"Macon County, IL",109833
0500000US17117,17117,"Macoupin County, IL",47229
0500000US17119,17119,"Madison County, IL",267937
0500000US17121,17121,"Marion County, IL",38922
0500000US17123,17123,"Marshall County, IL",12319
0500000US17125,17125,"Mason County, IL",14309
0500000US17127,17127,"Massac County, IL",15148
0500000US17129,17129,"Menard County, IL",12658
0500000US17131,17131,"Mercer County, IL",16204
0500000US17133,17133,"Monroe County, IL",33373
0500000US17135,17135,"Montgomery County, IL",29740
0500000US17137,17137,"Morgan County, IL",35272
0500000US17139,17139,"Moultrie County, IL",14896
0500000US17141,17141,"Ogle County, IL",52782
0500000US17143,17143,"Peoria County, IL",187197
0500000US17145,17145,"Perry County, IL",22034
0500000US17147,17147,"Piatt County, IL",16552
0500000US17149,17149,"Pike County, IL",16244
0500000US17151,17151,"Pope County, IL",4362
0500000US17153,17153,"Pulaski County, IL",5967
0500000US17155,17155,"Putnam County, IL",5895
0500000US17157,17157,"Randolph County, IL",33091
0500000US17159,17159,"Richland County, IL",16144
0500000US17161,17161,"Rock Island County, IL",146964
0500000US17163,17163,"St. Clair County, IL",268415
0500000US17165,17165,"Saline County, IL",24876
0500000US17167,17167,"Sangamon County, IL",198808
0500000US17169,17169,"Schuyler County, IL",7454
0500000US17171,17171,"Scott County, IL",5260
0500000US17173,17173,"Shelby County, IL",22216
0500000US17175,17175,"Stark County, IL",5888
0500000US17177,17177,"Stephenson County, IL",47053
0500000US17179,17179,"Tazewell County, IL",135872
0500000US17181,17181,"Union County, IL",17620
0500000US17183,17183,"Vermilion County, IL",80773
0500000US17185,17185,"Wabash County, IL",11730
0500000US17187,17187,"Warren County, IL",17784
0500000US17189,17189,"Washington County, IL",14527
0500000US17191,17191,"Wayne County, IL",16627
0500000US17193,17193,"White County, IL",14549
0500000US17195,17195,"Whiteside County, IL",57680
0500000US17197,17197,"Will County, IL",682108
0500000US17199,17199,"Williamson County, IL",66808
0500000US17201,17201,"Winnebago County, IL",292026
0500000US17203,17203,"Woodford County, IL",38965
